Rk,Player,G,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team
1,Albert Pujols,3022,2001,2022,21-42,3022,12854,11255,1887,3332,1953,678,16,685,2170,117,42,1360,1378,0.296,0.374,0.542,0.916,144,6097,420,117,1,121,316,3D759H/46,"LAA,LAD,STL"
2,Miguel Cabrera,2663,2003,2022,20-39,2663,11291,9900,1524,3066,1939,605,17,505,1838,40,21,1215,2004,0.31,0.386,0.527,0.913,143,5220,347,71,5,100,237,35D79H,"DET,FLA"
3,Robinson Canó,2260,2005,2022,22-39,2260,9530,8754,1261,2638,1699,571,33,335,1306,51,38,619,1210,0.301,0.351,0.489,0.84,125,4280,284,85,10,62,112,*4DH3/56,"ATL,NYM,NYY,SDP,SEA"
4,Yadier Molina,2184,2004,2022,21-39,2184,8422,7691,768,2141,1556,405,7,173,1008,70,37,539,905,0.278,0.329,0.4,0.729,96,3079,281,74,43,74,50,*23H/D15,STL
5,Nelson Cruz,1964,2005,2022,24-41,1964,8082,7214,1070,1986,1151,364,14,457,1285,81,32,719,1828,0.275,0.345,0.52,0.865,132,3749,173,82,2,57,77,D97H/83,"BAL,MIL,MIN,SEA,TBR,TEX,WSN"
6,Joey Votto,1964,2007,2022,23-38,1964,8390,6945,1137,2074,1264,451,22,337,1092,80,29,1327,1548,0.299,0.414,0.515,0.929,146,3580,162,70,0,48,147,*3HD/7,CIN
7,Elvis Andrus,1880,2009,2022,20-33,1880,7920,7136,986,1925,1443,347,50,85,696,321,109,573,1088,0.27,0.326,0.368,0.694,86,2627,183,51,103,56,7,*6DH,"OAK,TEX"
8,Evan Longoria,1867,2008,2022,22-36,1867,7822,6961,979,1850,1085,414,26,325,1107,58,19,698,1580,0.266,0.335,0.473,0.808,120,3291,194,70,1,92,86,*5DH/6,"SFG,TBR"
9,Justin Upton,1844,2007,2022,19-34,1844,7646,6718,1058,1754,1041,350,38,325,1003,151,59,785,1969,0.261,0.343,0.47,0.812,117,3155,142,78,3,59,49,*79HD/8,"ARI,ATL,DET,LAA,SDP,SEA"
10,Andrew McCutchen,1834,2009,2022,22-35,1834,7907,6809,1089,1900,1193,379,49,279,970,203,83,951,1479,0.279,0.371,0.472,0.843,130,3214,116,80,3,64,66,*879DH,"MIL,NYY,PHI,PIT,SFG"
11,Carlos Santana,1719,2010,2022,24-36,1719,7328,6119,892,1496,887,327,16,266,892,48,18,1122,1198,0.244,0.362,0.434,0.795,116,2653,153,33,0,54,62,32D5H/97,"CLE,KCR,PHI,SEA"
12,Freddie Freeman,1652,2010,2022,20-32,1652,7053,6111,1026,1813,1107,396,27,283,997,60,24,818,1377,0.297,0.384,0.509,0.894,139,3112,130,80,0,44,107,*3H5/D,"ATL,LAD"
